game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
144,100,4,8,42333,"2018-4-20",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,100,7,11,25979,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,100,6,5,28907,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,100,14,23,31160,"2018-4-20",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,100,13,21,24606,"2018-4-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,100,10,1,38556,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,100,3,12,42011,"2018-4-20",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,100,16,22,30177,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,100,30,18,38694,"2018-4-20",1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,100,27,17,25318,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,100,15,19,42589,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,100,20,25,37116,"2018-4-20",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,100,28,29,38614,"2018-4-20",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,100,26,24,41082,"2018-4-20",1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,100,9,2,37448,"2018-4-21",1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,100,4,8,42365,"2018-4-21",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,100,7,11,25619,"2018-4-21",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,100,6,5,28598,"2018-4-21",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,100,14,23,31025,"2018-4-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,100,13,21,24606,"2018-4-21",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,100,10,1,38328,"2018-4-21",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,100,3,12,42085,"2018-4-21",1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,100,16,22,30063,"2018-4-21",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,100,30,18,38686,"2018-4-21",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,100,27,17,25503,"2018-4-21",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,100,15,19,43088,"2018-4-21",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,100,20,25,37371,"2018-4-21",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,100,28,29,38792,"2018-4-21",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,100,26,24,41167,"2018-4-21",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,100,9,2,37311,"2018-4-22",1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,100,4,8,42152,"2018-4-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,100,7,11,25911,"2018-4-22",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,100,6,5,28984,"2018-4-22",1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,100,14,23,30987,"2018-4-22",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,100,13,21,24809,"2018-4-22",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,100,10,1,38259,"2018-4-22",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,100,3,12,42230,"2018-4-22",1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,100,16,22,30026,"2018-4-22",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,100,30,18,38755,"2018-4-22",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,100,27,17,25511,"2018-4-22",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,100,15,19,42974,"2018-4-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,100,20,25,37324,"2018-4-22",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,100,28,29,38875,"2018-4-22",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,100,26,24,40942,"2018-4-22",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,100,9,2,37124,"2018-4-23",1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,100,21,11,37214,"2018-4-23",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,100,6,4,28605,"2018-4-23",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,100,14,5,30954,"2018-4-23",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,100,13,1,24604,"2018-4-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,100,10,20,38311,"2018-4-23",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,100,16,22,29791,"2018-4-23",1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,100,30,17,38781,"2018-4-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,100,15,19,42773,"2018-4-23",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,100,23,18,42728,"2018-4-23",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,100,21,11,37134,"2018-4-24",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,100,7,28,25946,"2018-4-24",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,100,6,4,28941,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,100,14,5,31207,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,100,13,1,24666,"2018-4-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,100,10,20,38499,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,100,2,8,27135,"2018-4-24",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,100,3,9,42015,"2018-4-24",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,100,16,26,30143,"2018-4-24",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,100,30,17,38629,"2018-4-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,100,27,12,25655,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,100,15,29,42606,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,100,25,24,33347,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,100,22,19,32348,"2018-4-24",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,100,23,18,42797,"2018-4-24",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,100,21,11,37343,"2018-4-25",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,100,7,28,25705,"2018-4-25",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,100,6,4,28936,"2018-4-25",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,100,14,5,30885,"2018-4-25",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,100,13,1,24582,"2018-4-25",1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,100,10,20,38237,"2018-4-25",1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,100,2,8,27356,"2018-4-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,100,3,9,42091,"2018-4-25",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,100,16,26,30048,"2018-4-25",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,100,30,17,38781,"2018-4-25",1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,100,27,12,25259,"2018-4-25",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,100,15,29,42646,"2018-4-25",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,100,25,24,33372,"2018-4-25",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,100,22,19,32528,"2018-4-25",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,100,23,18,43391,"2018-4-25",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,100,21,11,37166,"2018-4-26",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,100,6,4,28684,"2018-4-26",1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,100,13,10,24558,"2018-4-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,100,2,8,27370,"2018-4-26",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,100,1,7,33007,"2018-4-26",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,100,3,9,42185,"2018-4-26",1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,100,16,26,30184,"2018-4-26",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,100,27,12,25580,"2018-4-26",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,100,17,23,24922,"2018-4-26",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,100,25,24,33380,"2018-4-26",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,100,22,19,32221,"2018-4-26",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,100,12,9,40546,"2018-4-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,100,5,4,37252,"2018-4-27",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,100,11,3,32283,"2018-4-27",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,100,6,8,28713,"2018-4-27",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,100,13,10,24692,"2018-4-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,100,2,21,27192,"2018-4-27",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,100,1,7,33503,"2018-4-27",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,100,19,15,32602,"2018-4-27",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,100,27,30,25328,"2018-4-27",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,100,29,28,34645,"2018-4-27",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,100,17,23,24923,"2018-4-27",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,100,25,26,33407,"2018-4-27",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,100,24,16,24595,"2018-4-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,100,18,14,25242,"2018-4-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,100,22,20,32270,"2018-4-27",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,100,12,9,40797,"2018-4-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,100,5,4,37439,"2018-4-28",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,100,11,3,32284,"2018-4-28",1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,100,6,8,28931,"2018-4-28",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,100,13,10,24831,"2018-4-28",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,100,2,21,27186,"2018-4-28",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,100,1,7,33436,"2018-4-28",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,100,19,15,32403,"2018-4-28",1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,100,27,30,25437,"2018-4-28",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
