team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
3,2016,100,0,0,1,0,6361,5740,1655,1121,2899,984,371,27,273,82,28,895,928,526,61,38,13,43,1,149,162,1458,671,0,0.2883,0.3496,0.5051,995.8089,6.2267,0.2167,0.0000,0.8547,74.5455,0.0000
3,2017,100,0,0,1,0,6406,5755,1666,1246,2729,1101,300,32,233,102,30,879,915,558,63,41,7,42,3,147,162,1458,565,0,0.2895,0.3541,0.4742,960.9691,6.0130,0.1847,0.0000,0.8283,77.2727,0.0000
4,2000,100,0,1,1,0,6559,5757,1654,920,2853,1037,304,44,269,124,56,979,1005,649,48,50,36,65,2,139,162,1458,617,0,0.2873,0.3608,0.4956,1033.1742,6.3414,0.2083,0.0000,0.8564,68.8889,0.0000
4,2001,100,0,1,1,0,6364,5723,1597,964,2655,1049,280,26,242,137,50,840,860,500,55,61,27,51,2,123,162,1458,548,0,0.2790,0.3406,0.4639,904.3138,5.5784,0.1849,0.0000,0.8046,73.2620,0.0000
4,2002,100,0,1,1,0,6307,5609,1459,938,2491,915,285,30,229,99,41,781,816,570,29,54,40,34,0,159,162,1458,544,0,0.2601,0.3324,0.4441,816.7509,4.9847,0.1840,0.0000,0.7765,70.7143,0.0000
4,2003,100,0,1,1,0,6305,5646,1564,937,2588,1020,294,20,230,74,46,865,897,510,26,74,22,51,2,139,162,1458,544,0,0.2770,0.3420,0.4584,874.9941,5.4435,0.1814,0.0000,0.8004,61.6667,0.0000
4,2004,100,0,1,1,0,6239,5639,1465,1099,2483,924,292,21,228,85,33,752,767,463,32,73,23,40,1,141,162,1458,541,0,0.2598,0.3220,0.4403,788.1464,4.8243,0.1805,0.0000,0.7623,72.0339,0.0000
4,2005,100,0,1,1,0,6172,5584,1481,950,2399,985,272,26,198,115,43,731,754,430,46,83,35,39,1,142,162,1458,496,0,0.2652,0.3250,0.4296,767.6597,4.7517,0.1644,0.0000,0.7546,72.7848,0.0000
4,2006,100,0,1,1,0,6286,5668,1528,1056,2468,1019,285,17,207,72,32,771,799,493,43,50,32,40,3,131,162,1458,509,0,0.2696,0.3313,0.4354,811.6911,5.0093,0.1658,0.0000,0.7667,69.2308,0.0000
4,2007,100,0,1,1,0,6145,5565,1359,1167,2141,919,255,28,157,75,28,624,651,463,45,58,20,38,1,134,162,1458,440,0,0.2442,0.3070,0.3847,652.6163,3.9812,0.1405,0.0000,0.6917,72.8155,0.0000
4,2008,100,0,1,1,0,6395,5795,1528,1140,2501,1016,278,7,227,49,27,786,813,489,30,62,17,31,1,151,161,1449,512,0,0.2637,0.3260,0.4316,798.8422,4.8005,0.1679,0.0000,0.7576,64.4737,0.0000
4,2009,100,0,1,1,0,6327,5745,1528,1167,2425,1042,269,23,194,127,35,747,767,455,37,59,13,55,0,133,162,1458,486,0,0.2660,0.3234,0.4221,785.0304,4.7599,0.1561,0.0000,0.7455,78.3951,0.0000
4,2010,100,0,1,1,0,6286,5660,1507,950,2322,1031,297,19,160,76,36,715,744,484,45,64,14,64,0,137,162,1458,476,0,0.2663,0.3276,0.4102,758.3268,4.6491,0.1440,0.0000,0.7379,67.8571,0.0000
4,2011,100,0,1,1,0,6481,5817,1602,1004,2520,1093,294,21,194,89,43,795,824,492,43,91,31,49,1,123,164,1476,509,0,0.2754,0.3388,0.4332,856.2928,5.1827,0.1578,0.0000,0.7720,67.4242,0.0000
4,2012,100,0,1,1,0,6161,5592,1439,1160,2268,991,245,25,178,70,25,683,708,443,53,78,8,39,1,161,162,1458,448,0,0.2573,0.3186,0.4056,705.7179,4.3444,0.1482,0.0000,0.7242,73.6842,0.0000
4,2013,100,0,1,1,0,6033,5582,1418,1235,2197,991,243,16,168,58,24,616,638,348,39,46,15,41,1,155,162,1458,427,0,0.2540,0.3011,0.3936,635.8142,3.9025,0.1396,0.0000,0.6947,70.7317,0.0000
4,2014,100,0,1,1,0,6130,5625,1428,1338,2211,967,286,28,147,59,17,623,644,378,39,67,15,45,0,147,162,1458,461,0,0.2539,0.3063,0.3931,663.0920,4.0496,0.1392,0.0000,0.6994,77.6316,0.0000
4,2015,100,0,1,1,0,6180,5647,1466,1156,2266,983,310,29,144,53,23,678,702,410,68,65,6,52,0,162,162,1458,483,0,0.2596,0.3144,0.4013,690.3353,4.2132,0.1417,0.0000,0.7157,69.7368,0.0000
4,2016,100,0,1,1,0,6183,5638,1450,1294,2330,947,297,35,171,87,35,704,732,429,67,57,12,47,0,103,162,1458,503,0,0.2572,0.3137,0.4133,731.3146,4.5030,0.1561,0.0000,0.7270,71.3115,0.0000
4,2017,100,0,1,1,0,6221,5686,1386,1494,2144,955,248,39,144,89,42,585,618,424,35,64,10,36,1,125,162,1458,431,0,0.2438,0.3018,0.3771,639.9823,3.8288,0.1333,0.0000,0.6788,67.9389,0.0000
5,2000,100,0,1,1,0,6601,5736,1638,1054,2696,1055,329,33,221,107,43,943,977,722,46,56,29,55,3,152,162,1458,583,0,0.2856,0.3678,0.4700,1005.0176,6.1996,0.1844,0.0000,0.8378,71.3333,0.0000
