player_id,league_id,streak_id,value,has_ended,started,ended
471,100,2,1,1,"2001-5-12","2001-5-13"
471,100,0,1,0,"2001-6-14",NULL
471,100,1,1,0,"2001-6-14",NULL
506,100,2,2,1,"2002-9-12","2002-9-19"
506,100,0,7,1,"2003-8-22","2003-9-6"
506,100,3,3,1,"2009-8-24","2009-9-4"
506,100,1,3,1,"2009-9-26","2009-9-29"
517,100,5,8,1,"2001-4-27","2001-6-30"
517,100,7,11,1,"2001-4-27","2001-6-30"
517,100,1,1,1,"2001-9-29","2001-10-6"
517,100,0,1,1,"2002-6-20","2004-4-7"
517,100,3,1,1,"2002-6-20","2004-4-7"
517,100,6,6,1,"2002-9-12","2004-5-10"
517,100,0,1,0,"2004-5-15",NULL
517,100,6,1,0,"2004-5-15",NULL
525,100,7,3,1,"2003-8-8","2003-8-24"
525,100,0,1,1,"2003-9-13","2003-9-18"
525,100,3,1,1,"2003-9-13","2003-9-18"
525,100,1,1,1,"2003-9-13","2003-9-18"
525,100,6,3,1,"2007-6-1","2007-9-4"
525,100,5,2,1,"2007-9-4","2007-9-28"
525,100,7,2,0,"2008-4-10",NULL
525,100,6,1,0,"2009-9-16",NULL
550,100,0,3,1,"2003-5-14","2003-5-24"
550,100,2,1,1,"2003-8-12","2003-8-13"
550,100,3,1,1,"2003-8-12","2003-8-13"
550,100,1,1,1,"2003-8-12","2003-8-13"
550,100,0,1,0,"2003-9-27",NULL
554,100,5,1,0,"2001-6-7",NULL
554,100,4,1,0,"2001-7-25",NULL
562,100,2,3,1,"2005-5-9","2005-5-15"
562,100,1,6,1,"2005-8-31","2005-9-11"
562,100,0,14,1,"2009-9-27","2010-4-16"
562,100,3,5,1,"2012-9-10","2012-9-20"
562,100,0,1,0,"2012-10-3",NULL
562,100,1,1,0,"2012-10-3",NULL
575,100,5,1,1,"2000-6-5","2000-8-8"
575,100,6,1,1,"2000-8-8","2002-7-3"
575,100,4,2,0,"2000-9-20",NULL
575,100,5,1,0,"2002-7-3",NULL
586,100,0,7,1,"2000-6-11","2000-6-27"
586,100,1,4,1,"2000-6-20","2000-6-24"
586,100,2,1,1,"2000-6-22","2000-6-23"
586,100,3,1,1,"2001-4-8","2001-4-12"
587,100,1,5,1,"2000-4-10","2000-4-22"
587,100,0,6,1,"2000-4-27","2000-5-6"
587,100,2,1,1,"2000-5-24","2000-5-27"
587,100,3,1,1,"2000-10-1","2002-6-12"
587,100,0,1,0,"2009-9-1",NULL
608,100,0,4,1,"2000-9-18","2000-9-24"
608,100,3,2,1,"2000-9-19","2000-9-23"
608,100,1,4,1,"2000-9-29","2001-8-17"
641,100,0,14,1,"2004-7-5","2004-7-26"
641,100,3,7,1,"2004-7-11","2004-7-22"
641,100,2,3,1,"2004-7-19","2004-7-22"
641,100,1,6,1,"2006-6-9","2006-6-20"
664,100,0,2,1,"2001-7-14","2001-7-19"
664,100,3,2,1,"2001-7-14","2001-7-19"
664,100,1,2,1,"2001-7-14","2001-7-19"
709,100,2,1,1,"2001-7-25","2001-8-4"
709,100,0,2,1,"2002-5-2","2002-5-12"
709,100,1,3,1,"2002-7-24","2002-8-17"
709,100,4,1,1,"2004-9-22","2004-9-25"
709,100,3,1,1,"2006-6-9","2006-6-15"
709,100,5,9,1,"2007-4-4","2007-6-24"
709,100,7,14,1,"2007-4-4","2007-6-24"
709,100,6,9,1,"2007-9-1","2008-5-1"
709,100,6,11,0,"2009-5-25",NULL
709,100,4,1,0,"2009-6-28",NULL
711,100,0,13,1,"2000-9-12","2000-9-26"
711,100,1,7,1,"2001-4-8","2001-4-17"
711,100,3,9,1,"2002-8-28","2002-9-7"
711,100,2,3,1,"2004-9-1","2004-9-5"
725,100,1,1,1,"2000-4-4","2000-5-14"
725,100,0,2,0,"2000-7-25",NULL
